0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Semana
21A,21A,21A,21A,22B,22B,22B,22B,22B,22B,23C,23C,23C,23C,23C,23C,
Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST,Yielded Supply,Safety Stock Target,Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST,Yielded Supply,Safety Stock Target,Safety Stock Target (WOS),EffectiveDemand,Total Projected Inventory Balance,Inventory Balance in excess of SST,
0.0,0.0,141337199.35999998,0.0,0.0,0.0,0.0,0.0,164824302.72,0.0,0.0,0.0,0.0,0.0,184132359.936,0.0,
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,1.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,2.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,3.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,4.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,5.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,6.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,7.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,8.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,9.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,10.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,11.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,12.0
1.82,3920865476.2527657,-398900228.9237671,-1078892899.4955273,1694268282.3394976,283186617.3041231,1.561,1541047872.0,318044713.0594976,34858095.75537443,6610182393.901104,706503770.3388937,1.42,4705495605.907281,2088819147.929823,1382315377.590929,13.0
1.82,4857090504.084001,-5255990733.007768,-5801306163.305914,,396739587.2068459,1.561,2358376697.6000004,-2040331984.5405028,-80378541.58553304,,947758578.0083735,1.42,6467992263.665929,-4379173115.736106,-5326931693.744479,1.0
